sensor_name,source_address,timestamp,mean_rssi,count
A01,ff:ff:ff:ff:ff:ff,2024-04-09T19:18:39Z,-67,1
A01,d2f97c3a650b495bb9b6f44ceade1b9cb48a150d77b5ef3e0b443e18237dba7a,2024-04-09T19:18:39Z,-77,1
A01,b36580cc56a2beb1960dd70f51707420a53bef57a86d778634602ae2e399b045,2024-04-09T19:18:39Z,-73,1
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:40Z,-77.2857142857143,14
A01,ecc8d72271c6b808784d96bed26f914ebb7a50fa2f68ce4800e20fb745a15727,2024-04-09T19:18:40Z,-79,1
A01,c507316d9216a7d2101e3fa5b615ee3ad72e6a69f7c601a021b930cd45dcaaeb,2024-04-09T19:18:40Z,-68.8333333333333,12
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:18:40Z,-78,2
A01,20da938fcce33d666d32f0559ed54f92b94c5c74290d8ec06cc534ee9941cdbe,2024-04-09T19:18:40Z,-79,1
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:40Z,-69,1
A01,ff:ff:ff:ff:ff:ff,2024-04-09T19:18:41Z,-71.5,12
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:41Z,-66.4285714285714,14
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:41Z,-75.8,5
A01,0551fcdacd6503c13d4ff9cd4b5dc582248d80ed18dee49c1e292c2bef390698,2024-04-09T19:18:41Z,-77,11
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:18:41Z,-79,1
A01,35e2b645781fceedde5db10b4c6415b62c2b652b64079c9d0f2b09c9fc0099ed,2024-04-09T19:18:41Z,-79,1
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:18:41Z,-70.2307692307692,13
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:18:42Z,-70.1181102362205,127
A01,f773bcd074613d7efb5bcdb2209fc52a194a535e32b64d03c2ad7d270342e496,2024-04-09T19:18:42Z,-77,1
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:42Z,-76.6,10
A01,0551fcdacd6503c13d4ff9cd4b5dc582248d80ed18dee49c1e292c2bef390698,2024-04-09T19:18:42Z,-77.8,10
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:18:42Z,-75,1
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:18:43Z,-70.8992805755396,139
A01,d8dd6ff0ea18d82eed0d3ff2d44462933e4d7dbc7fc696b673c17e852ca118d4,2024-04-09T19:18:43Z,-68,2
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:43Z,-75,4
A01,0551fcdacd6503c13d4ff9cd4b5dc582248d80ed18dee49c1e292c2bef390698,2024-04-09T19:18:43Z,-77.4444444444444,9
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:43Z,-77,4
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:18:43Z,-77,2
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:18:44Z,-68.5421686746988,83
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:44Z,-67,1
A01,0551fcdacd6503c13d4ff9cd4b5dc582248d80ed18dee49c1e292c2bef390698,2024-04-09T19:18:44Z,-79,3
A01,d8dd6ff0ea18d82eed0d3ff2d44462933e4d7dbc7fc696b673c17e852ca118d4,2024-04-09T19:18:44Z,-79,2
A01,6a057bfd7d9e1af2030c8b9ead0c01b02bb52fd2e4d7a292f018c3b6a2695629,2024-04-09T19:18:44Z,-77,1
A01,ff:ff:ff:ff:ff:ff,2024-04-09T19:18:44Z,-68.4285714285714,7
A01,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,2024-04-09T19:18:44Z,-31,1
A01,01f37d672ab24e5b1efc9eb702b837b79ed01b5e16a8b956a258f48371d51cf6,2024-04-09T19:18:45Z,-39,3
A01,ecc8d72271c6b808784d96bed26f914ebb7a50fa2f68ce4800e20fb745a15727,2024-04-09T19:18:45Z,-79,2
A01,d8dd6ff0ea18d82eed0d3ff2d44462933e4d7dbc7fc696b673c17e852ca118d4,2024-04-09T19:18:45Z,-77.6666666666667,3
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:45Z,-68.6363636363636,22
A01,c507316d9216a7d2101e3fa5b615ee3ad72e6a69f7c601a021b930cd45dcaaeb,2024-04-09T19:18:45Z,-73.5,4
A01,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,2024-04-09T19:18:45Z,-31,1
A01,ff:ff:ff:ff:ff:ff,2024-04-09T19:18:45Z,-74.3333333333333,3
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:46Z,-68.6842105263158,19
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:18:46Z,-69,7
A01,01f37d672ab24e5b1efc9eb702b837b79ed01b5e16a8b956a258f48371d51cf6,2024-04-09T19:18:46Z,-48.4285714285714,7
A01,ff:ff:ff:ff:ff:ff,2024-04-09T19:18:46Z,-72.7142857142857,7
A01,d135ee4f4162c074d25699fbe4b7388ed14c6ad99da4dcf389c7404244e1b966,2024-04-09T19:18:46Z,-70.4285714285714,7
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:46Z,-77,3
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:47Z,-76.6363636363636,11
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:18:47Z,-68.3333333333333,3
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:47Z,-70.7142857142857,7
A01,ff:ff:ff:ff:ff:ff,2024-04-09T19:18:47Z,-68.6666666666667,6
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:18:47Z,-77,1
