sensor_name,source_address,source_address_randomized,timestamp,median_rssi,count
A02,7919c3ede8e7e4ef71e6a18d29288b1a4e30be883baadbf6b6a1ede1a7139fe7,0,2024-04-09T19:17:35Z,-75,1
A02,c81a4ab67e4a67c73c5675f0c8c5d7bbcdd3b6fa7154189e3247ab5ebb8a9106,0,2024-04-09T19:17:35Z,-75,1
A02,3a99c3efd90da18310d9ea3f9168934ed8fa97e633dcc3ac986f8f351c0a5587,0,2024-04-09T19:17:37Z,-75,1
A02,2f6b15841505a07537c49abc0fa6bbbaf1e79700236297d0ca4b1e01f9449083,0,2024-04-09T19:17:36Z,-75,1
A02,fb5fb72821662800426fc6c86d387d75faf1158735cf5f1623c5895eeacd96ba,0,2024-04-09T19:17:29Z,-75,1
A02,f773bcd074613d7efb5bcdb2209fc52a194a535e32b64d03c2ad7d270342e496,0,2024-04-09T19:17:25Z,-75,1
A02,0551fcdacd6503c13d4ff9cd4b5dc582248d80ed18dee49c1e292c2bef390698,0,2024-04-09T19:17:28Z,-75,1
A02,c507316d9216a7d2101e3fa5b615ee3ad72e6a69f7c601a021b930cd45dcaaeb,0,2024-04-09T19:17:25Z,-75,1
A02,cd8a156296e5e7e4d722ba66ccbe1cb3a1d3eec0a4c670ff858d370fd237f119,0,2024-04-09T19:17:23Z,-75,1
A02,ff:ff:ff:ff:ff:ff,0,2024-04-09T19:17:30Z,-75,1
A02,4d126536d0984fafc721ba57f6c59a45f282f51b990f5468c8e850a9a522d86e,0,2024-04-09T19:17:34Z,-75,1
A02,aab10b172f5eccd62ecde1fab3ebbae77b152dfa1a7f7ff741671390d7362bfb,0,2024-04-09T19:17:36Z,-75,1
A02,20da938fcce33d666d32f0559ed54f92b94c5c74290d8ec06cc534ee9941cdbe,0,2024-04-09T19:17:21Z,-75,1
A02,c3a79d2d13e3e7f01b33b73dbcab2da72c57a79557581f38821bab3d4046a8ec,0,2024-04-09T19:17:38Z,-75,1
A02,01f37d672ab24e5b1efc9eb702b837b79ed01b5e16a8b956a258f48371d51cf6,0,2024-04-09T19:17:33Z,-77,1
A02,d2f97c3a650b495bb9b6f44ceade1b9cb48a150d77b5ef3e0b443e18237dba7a,0,2024-04-09T19:17:23Z,-77,1
A02,5e34da5e8b89104ae07da09bd2524b3a0c0b9f2f9eb40d30e7005a28fb65d633,0,2024-04-09T19:17:31Z,-77,1
A02,b2f0a27695827170d8e42cf1437e2f61bcbcb1915613a9e8eeab18f8c2959137,0,2024-04-09T19:17:31Z,-71,1
A02,2996c11dac4b16753ed91852ae4384934728ea85f659d7d66c00d81e9a07afa5,0,2024-04-09T19:17:24Z,-75,1
A02,4faf46ef408902770c1b58bc7c0edc8d20d920e97738fbbaca004ca082322d23,0,2024-04-09T19:17:25Z,-77,1
A02,50a425362264daa0477f2e52c3060eeed251f265fb2e970099cf4f2555b46b1e,0,2024-04-09T19:17:26Z,-79,1
A02,61fa5dc9c090f0c0d6a3d9655a09dce391ad08a0f9e9a8afb1b032e8f81c7f60,0,2024-04-09T19:17:35Z,-79,1
A02,12604a027caa0b5b78a6ce8b88ca78359f39aa21a16bd7ce9edf5dc1fbc99713,0,2024-04-09T19:17:27Z,-77,1
A02,81ad0dde38dcfb3d68ccdc04bb4a6d81f26366259c3bf60806cd6f8905fe4102,0,2024-04-09T19:17:28Z,-77,1
A02,6a6098a513073eacd39d1c4c088d72195386cd09b0d20cc1cbf66105b7bb4871,0,2024-04-09T19:17:34Z,-67,1
A02,26233aca75dec515bd884b820a8a1f1587d713a20bac657335e9230c9585d3b7,1,2024-04-09T19:17:22Z,-69,1
A02,4c26c07ddfa5269c7843c40f9fd466d937198a2cf8c54ccdf32aa7a1d94088fc,0,2024-04-09T19:17:24Z,-77,1
A02,416c0a6e8937f26313d8154b292342b506d50e682172f03b4d0f51f85d568367,0,2024-04-09T19:17:29Z,-69,1
A02,f0659bdd9305e4341afb9f55df7cd20a4adfd726f83a33c3857281dfa3de8575,0,2024-04-09T19:17:34Z,-77,1
A02,a0bc78981d5423d3c2098f4b74c34e34bf80e97d2cb1ad216e84d6e80fb68ddc,0,2024-04-09T19:17:33Z,-79,1
A02,3e9976b5222def62aa01e522365e798609e1920dbeb4116a65e243c2510295c5,0,2024-04-09T19:17:24Z,-77,1
A02,d3a68578f87979afe6b80bb3f3d50c74a29819941dc9413f36ec3227bd8c42fa,0,2024-04-09T19:17:40Z,-79,1
A02,f4ae9d32f05270532a5c687c7f551e2969020f16cd1d647244276864b41fb009,0,2024-04-09T19:17:22Z,-73,1
