timestamp,type,subtype,strength,source_address,source_address_randomized,destination_address,destination_address_randomized,access_point_name,access_point_address,access_point_address_randomized,sequence_number,channel,sensor_name,info
2024-04-09T19:20:08.905975,management,probe-response,-83,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,a1d51826b334ca6e092970d39f69e78e21244ca0a154dd8eeeb938b06db3d862,1,[LG_CeilingCassette A/C]8993,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,1236,1,A01,""
2024-04-09T19:20:08.925983,management,probe-response,-81,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,a1d51826b334ca6e092970d39f69e78e21244ca0a154dd8eeeb938b06db3d862,1,[LG_CeilingCassette A/C]8993,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,1237,1,A01,""
2024-04-09T19:20:08.945955,management,probe-response,-81,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,a1d51826b334ca6e092970d39f69e78e21244ca0a154dd8eeeb938b06db3d862,1,[LG_CeilingCassette A/C]8993,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,1238,1,A01,""
2024-04-09T19:20:08.949713,management,probe-response,-79,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,a1d51826b334ca6e092970d39f69e78e21244ca0a154dd8eeeb938b06db3d862,1,[LG_CeilingCassette A/C]8993,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,1238,1,A01,""
2024-04-09T19:20:09.055997,management,probe-response,-63,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1295,6,A01,""
2024-04-09T19:20:09.058300,management,probe-response,-63,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1295,6,A01,""
2024-04-09T19:20:09.060191,management,probe-response,-63,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1295,6,A01,""
2024-04-09T19:20:09.115951,data,data,-77,20da938fcce33d666d32f0559ed54f92b94c5c74290d8ec06cc534ee9941cdbe,0,ff:ff:ff:ff:ff:ff,1,(n/a),fe34858d979232934b17bcb3d46bf1d4839a86e843778dc5c26253fc9412fd48,0,2348,6,A01,""
2024-04-09T19:20:09.210841,management,probe-response,-75,a716e63ecdd8718e4a32ea46d3cea40cf5034e1149f7846fa29cf4b12d45c5fe,0,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,DDFILM,a716e63ecdd8718e4a32ea46d3cea40cf5034e1149f7846fa29cf4b12d45c5fe,0,639,1,A01,""
2024-04-09T19:20:09.225973,management,probe-response,-75,a716e63ecdd8718e4a32ea46d3cea40cf5034e1149f7846fa29cf4b12d45c5fe,0,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,DDFILM,a716e63ecdd8718e4a32ea46d3cea40cf5034e1149f7846fa29cf4b12d45c5fe,0,640,1,A01,""
2024-04-09T19:20:09.245944,management,probe-response,-21,7315518adbb39d91baee4b30f2af0e2676bc2caf6f4b6c82185489742104a5f6,1,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,juhyeon9087,7315518adbb39d91baee4b30f2af0e2676bc2caf6f4b6c82185489742104a5f6,1,1070,1,A01,""
2024-04-09T19:20:09.250445,management,probe-response,-21,7315518adbb39d91baee4b30f2af0e2676bc2caf6f4b6c82185489742104a5f6,1,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,juhyeon9087,7315518adbb39d91baee4b30f2af0e2676bc2caf6f4b6c82185489742104a5f6,1,1070,1,A01,""
2024-04-09T19:20:09.252541,management,probe-response,-75,a716e63ecdd8718e4a32ea46d3cea40cf5034e1149f7846fa29cf4b12d45c5fe,0,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,DDFILM,a716e63ecdd8718e4a32ea46d3cea40cf5034e1149f7846fa29cf4b12d45c5fe,0,642,1,A01,""
2024-04-09T19:20:09.265949,management,probe-response,-29,ef27698d706f9e59d717591e2687ca07166ef06ab8d30a828e1e9194e5cf9e4b,0,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,Public WiFi Free,ef27698d706f9e59d717591e2687ca07166ef06ab8d30a828e1e9194e5cf9e4b,0,1829,1,A01,""
2024-04-09T19:20:09.268340,management,probe-response,-29,ef27698d706f9e59d717591e2687ca07166ef06ab8d30a828e1e9194e5cf9e4b,0,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,Public WiFi Free,ef27698d706f9e59d717591e2687ca07166ef06ab8d30a828e1e9194e5cf9e4b,0,1829,1,A01,""
2024-04-09T19:20:09.270807,management,probe-response,-29,c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,1,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,Public WiFi Free,c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,1,1793,1,A01,""
2024-04-09T19:20:09.272949,management,probe-response,-29,c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,1,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,Public WiFi Free,c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,1,1793,1,A01,""
2024-04-09T19:20:09.286033,management,probe-response,-29,c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,1,8264fefaa1a7bf2dd79b24d089504ffd9259113189dc7c63f0c356cd14b18d9f,0,Public WiFi Free,c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,1,1793,1,A01,""
2024-04-09T19:20:09.295964,management,probe-response,-59,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,b47a2bcf93795a06536ac1681126d8fa5deca065175a05b77eb25583f5b6143c,1,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1296,6,A01,""
2024-04-09T19:20:09.315967,management,probe-response,-65,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,b47a2bcf93795a06536ac1681126d8fa5deca065175a05b77eb25583f5b6143c,1,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1296,6,A01,""
